Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%_opp,ORB%_opp,DRB%_opp,TRB%_opp,AST%_opp,STL%_opp,BLK%_opp,TOV%_opp,ORtg_opp,eFG%_diff,ORB%_diff,DRB%_diff,TRB%_diff,AST%_diff,STL%_diff,BLK%_diff,TOV%_diff,ORtg_diff,year,player
On − Off,POR,19%,-0.017,1.8,-8.8,-2.4,1.5,-0.7,-0.8,-6.0,1.3,-0.007,8.8,-1.8,2.4,-19.3,0.0,0.6,0.5,-5.0,-0.01,-7.1,-7.1,-4.9,20.9,-0.7,-1.3,-6.5,6.3,1997,Stacey Augmon
On Court,MIA,286,0.469,25.3,68.4,48.5,57.1,6.8,9.0,17.1,96.5,0.433,31.6,74.7,51.5,57.7,10.6,7.7,14.4,98.3,0.036,-6.3,-6.3,-3.0,-0.6,-3.8,1.3,2.7,-1.8,1997,Isaac Austin
Off Court,MIA,526,0.466,28.0,72.8,50.2,58.7,8.2,8.4,16.1,99.4,0.446,27.2,72.0,49.8,53.9,10.1,9.9,15.2,98.5,0.02,0.8,0.8,0.3,4.8,-1.9,-1.5,0.9,0.8,1997,Isaac Austin
On − Off,MIA,35%,0.003,-2.7,-4.4,-1.7,-1.6,-1.4,0.6,1.0,-2.9,-0.013,4.4,2.7,1.7,3.8,0.5,-2.2,-0.8,-0.2,0.016,-7.1,-7.1,-3.3,-5.4,-1.9,2.8,1.8,-2.6,1997,Isaac Austin
On Court,HOU,604,0.515,32.6,69.3,51.3,62.9,8.2,6.5,14.5,112.5,0.48,30.7,67.4,48.7,61.2,9.7,8.4,12.4,109.4,0.035,1.9,1.9,2.6,1.7,-1.5,-1.9,2.1,3.1,1997,Charles Barkley
Off Court,HOU,165,0.52,28.3,66.2,48.9,75.2,9.6,7.3,15.9,111.6,0.495,33.8,71.7,51.1,61.5,10.0,6.2,12.5,109.6,0.025,-5.4,-5.4,-2.2,13.7,-0.4,1.2,3.4,2.1,1997,Charles Barkley
On − Off,HOU,79%,-0.005,4.3,3.1,2.4,-12.3,-1.4,-0.8,-1.4,0.9,-0.015,-3.1,-4.3,-2.4,-0.3,-0.3,2.2,-0.1,-0.2,0.01,7.3,7.3,4.8,-12.0,-1.1,-3.1,-1.3,1.0,1997,Charles Barkley
On Court,LAC,82,0.474,26.0,62.5,42.6,44.8,9.7,7.8,10.2,111.5,0.492,37.5,74.0,57.4,56.1,9.6,7.9,14.8,112.9,-0.018,-11.5,-11.5,-14.9,-11.3,0.1,-0.1,-4.6,-1.4,1997,Brent Barry
Off Court,LAC,61,0.483,23.5,71.8,44.4,57.5,4.6,6.8,14.6,101.0,0.635,28.2,76.5,55.6,69.8,9.7,10.1,13.9,127.8,-0.151,-4.7,-4.7,-11.1,-12.3,-5.1,-3.4,0.7,-26.8,1997,Brent Barry
On − Off,LAC,57%,-0.009,2.5,-9.3,-1.8,-12.7,5.1,1.0,-4.4,10.5,-0.143,9.3,-2.5,1.8,-13.7,-0.1,-2.2,0.9,-14.9,0.133,-6.8,-6.8,-3.8,1.0,5.2,3.3,-5.3,25.4,1997,Brent Barry
On Court,ATL,8,0.346,42.9,100.0,69.2,50.0,0.0,0.0,42.1,57.9,0.654,0.0,57.1,30.8,62.5,21.1,33.3,10.5,121.1,-0.308,42.9,42.9,38.5,-12.5,-21.1,-33.3,31.6,-63.2,1997,Jon Barry
Off Court,ATL,469,0.488,29.6,68.8,50.5,49.8,5.4,7.4,15.4,106.4,0.481,31.2,70.4,49.5,53.6,8.5,6.8,11.6,106.9,0.007,-1.6,-1.6,1.0,-3.8,-3.1,0.5,3.8,-0.5,1997,Jon Barry
On − Off,ATL,2%,-0.142,13.3,31.2,18.7,0.2,-5.4,-7.4,26.7,-48.5,0.173,-31.2,-13.3,-18.7,8.9,12.6,26.5,-1.1,14.2,-0.315,44.5,44.5,37.5,-8.7,-18.0,-33.8,27.8,-62.7,1997,Jon Barry
On Court,ATL,440,0.496,29.7,69.0,51.0,50.2,5.7,7.4,15.4,107.7,0.472,31.0,70.3,49.0,53.1,8.6,6.3,11.8,105.1,0.025,-1.3,-1.3,2.1,-3.0,-2.9,1.1,3.6,2.7,1997,Mookie Blaylock
Off Court,ATL,38,0.364,31.6,73.1,48.4,45.0,0.0,4.4,22.9,78.6,0.633,26.9,68.4,51.6,60.0,10.0,14.9,8.7,131.9,-0.269,4.7,4.7,-3.1,-15.0,-10.0,-10.4,14.2,-53.3,1997,Mookie Blaylock
On − Off,ATL,92%,0.132,-1.9,-4.1,2.6,5.2,5.7,3.0,-7.5,29.1,-0.161,4.1,1.9,-2.6,-6.9,-1.4,-8.6,3.1,-26.8,0.294,-6.0,-6.0,5.2,12.0,7.1,11.5,-10.6,56.0,1997,Mookie Blaylock
On Court,LAL,8,0.462,14.3,100.0,57.1,66.7,14.3,10.0,17.6,88.2,0.625,0.0,85.7,42.9,57.1,11.8,18.2,19.0,95.2,-0.163,14.3,14.3,14.3,9.5,2.5,-8.2,-1.4,-7.0,1997,Corie Blount
Off Court,LAL,429,0.481,29.6,69.0,49.4,63.7,7.5,10.5,13.3,110.6,0.465,31.0,70.4,50.6,66.7,6.7,9.2,14.5,104.8,0.016,-1.5,-1.5,-1.3,-2.9,0.7,1.4,-1.2,5.8,1997,Corie Blount
On − Off,LAL,2%,-0.019,-15.3,31.0,7.7,3.0,6.8,-0.5,4.3,-22.4,0.16,-31.0,15.3,-7.7,-9.6,5.1,9.0,4.5,-9.6,-0.179,15.8,15.8,15.6,12.4,1.8,-9.6,-0.2,-12.8,1997,Corie Blount
On Court,CHH,57,0.554,24.4,74.3,46.3,63.0,13.1,7.1,10.9,115.8,0.628,25.7,75.6,53.8,68.2,5.9,8.2,23.2,116.2,-0.074,-1.3,-1.3,-7.5,-5.1,7.2,-1.1,-12.3,-0.3,1997,Muggsy Bogues
Off Court,CHH,86,0.453,35.5,75.8,53.6,41.3,4.4,4.6,13.5,104.3,0.629,24.2,64.5,46.4,61.0,9.2,3.4,10.7,124.5,-0.177,11.3,11.3,7.2,-19.7,-4.8,1.2,2.8,-20.2,1997,Muggsy Bogues
On − Off,CHH,40%,0.101,-11.1,-1.5,-7.3,21.7,8.7,2.5,-2.6,11.5,-0.001,1.5,11.1,7.4,7.2,-3.3,4.8,12.5,-8.3,0.103,-12.6,-12.6,-14.7,14.6,12.0,-2.3,-15.1,19.9,1997,Muggsy Bogues
On Court,NYK,7,0.324,20.0,66.7,37.5,40.0,11.1,0.0,16.7,66.7,0.654,33.3,80.0,62.5,57.1,11.1,11.1,11.1,133.3,-0.33,-13.3,-13.3,-25.0,-17.1,0.0,-11.1,5.6,-66.7,1997,Scott Brooks
Off Court,NYK,470,0.508,25.5,73.7,50.5,61.8,9.7,6.6,16.3,104.8,0.471,26.3,74.5,49.5,53.6,8.7,8.3,15.5,99.5,0.037,-0.8,-0.8,0.9,8.2,1.0,-1.7,0.8,5.2,1997,Scott Brooks
On − Off,NYK,2%,-0.184,-5.5,-7.0,-13.0,-21.8,1.4,-6.6,0.4,-38.1,0.183,7.0,5.5,13.0,3.5,2.4,2.8,-4.4,33.8,-0.367,-12.5,-12.5,-25.9,-25.3,-1.0,-9.4,4.8,-71.9,1997,Scott Brooks
On Court,PHO,26,0.42,32.0,78.3,54.2,81.3,7.5,5.4,19.0,94.8,0.557,21.7,68.0,45.8,52.2,13.8,24.1,9.4,122.6,-0.136,10.3,10.3,8.3,29.1,-6.2,-18.7,9.5,-27.8,1997,Mike Brown
Off Court,PHO,218,0.485,22.3,67.3,45.5,64.7,8.5,9.1,14.2,100.2,0.512,32.7,77.7,54.5,66.1,9.4,7.1,12.6,114.2,-0.026,-10.3,-10.3,-9.0,-1.3,-1.0,1.9,1.6,-14.0,1997,Mike Brown
On − Off,PHO,11%,-0.065,9.7,11.0,8.7,16.6,-1.0,-3.7,4.8,-5.4,0.045,-11.0,-9.7,-8.7,-13.9,4.4,17.0,-3.2,8.4,-0.11,20.6,20.6,17.3,30.4,-5.2,-20.6,7.9,-13.8,1997,Mike Brown
On Court,MIA,447,0.48,29.7,72.4,51.7,62.2,8.2,8.6,17.4,101.7,0.438,27.6,70.3,48.3,54.9,10.6,10.6,15.8,97.4,0.042,2.1,2.1,3.5,7.3,-2.4,-1.9,1.6,4.3,1997,P.J. Brown
Off Court,MIA,364,0.452,24.3,69.8,47.0,53.0,7.1,8.5,15.3,94.4,0.447,30.2,75.7,53.0,55.6,9.8,7.2,13.9,99.7,0.005,-5.9,-5.9,-5.9,-2.6,-2.7,1.3,1.4,-5.3,1997,P.J. Brown
On − Off,MIA,55%,0.028,5.4,2.6,4.7,9.2,1.1,0.1,2.1,7.3,-0.009,-2.6,-5.4,-4.7,-0.7,0.8,3.4,1.9,-2.3,0.037,8.0,8.0,9.4,9.9,0.3,-3.2,0.2,9.6,1997,P.J. Brown
On Court,CHI,96,0.373,31.4,73.0,47.3,52.6,13.0,6.2,16.4,84.7,0.588,27.0,68.6,52.7,64.8,7.7,11.4,18.1,118.6,-0.216,4.4,4.4,-5.5,-12.2,5.3,-5.2,-1.7,-33.9,1997,Randy Brown
Off Court,CHI,810,0.482,35.7,72.4,53.6,60.3,9.6,9.4,12.4,109.7,0.456,27.6,64.3,46.4,53.1,6.3,6.0,15.6,98.8,0.026,8.1,8.1,7.2,7.2,3.3,3.4,-3.2,10.8,1997,Randy Brown
On − Off,CHI,11%,-0.109,-4.3,0.6,-6.3,-7.7,3.4,-3.2,4.0,-25.0,0.132,-0.6,4.3,6.3,11.7,1.4,5.4,2.5,19.8,-0.242,-3.7,-3.7,-12.7,-19.4,2.0,-8.6,1.5,-44.7,1997,Randy Brown
On Court,LAL,134,0.456,30.3,74.0,51.6,62.2,7.1,11.1,14.9,112.9,0.442,26.0,69.7,48.4,71.6,8.3,7.5,11.9,98.4,0.014,4.3,4.3,3.3,-9.4,-1.2,3.6,3.0,14.5,1997,Kobe Bryant
Off Court,LAL,302,0.491,28.8,67.7,48.6,64.4,7.9,10.3,12.7,108.9,0.479,32.3,71.2,51.4,64.4,6.2,10.1,15.9,107.3,0.013,-3.5,-3.5,-2.8,0.0,1.7,0.2,-3.2,1.6,1997,Kobe Bryant
On − Off,LAL,31%,-0.035,1.5,6.3,3.0,-2.2,-0.8,0.8,2.2,4.0,-0.037,-6.3,-1.5,-3.0,7.2,2.1,-2.6,-4.0,-8.9,0.001,7.8,7.8,6.1,-9.4,-2.9,3.4,6.2,12.9,1997,Kobe Bryant
On Court,PHO,36,0.538,23.8,73.5,54.5,78.3,4.0,2.3,22.9,100.0,0.543,26.5,76.2,45.5,56.3,10.0,9.1,8.0,118.7,-0.005,-2.7,-2.7,9.1,22.0,-6.0,-6.8,14.9,-18.7,1997,Mark Bryant
Off Court,PHO,208,0.47,23.4,67.6,45.3,64.4,9.2,9.7,13.4,99.5,0.511,32.4,76.6,54.7,66.1,9.9,8.9,13.0,114.5,-0.041,-9.0,-9.0,-9.5,-1.6,-0.8,0.7,0.4,-14.9,1997,Mark Bryant
On − Off,PHO,15%,0.068,0.4,5.9,9.2,13.9,-5.2,-7.4,9.5,0.5,0.032,-5.9,-0.4,-9.2,-9.8,0.1,0.2,-5.0,4.2,0.036,6.3,6.3,18.6,23.6,-5.2,-7.5,14.5,-3.8,1997,Mark Bryant
On Court,CHI,136,0.473,31.9,77.8,52.9,63.1,10.6,7.4,8.9,112.0,0.449,22.2,68.1,47.1,47.0,5.0,7.6,15.1,100.4,0.024,9.7,9.7,5.9,16.1,5.5,-0.2,-6.2,11.6,1997,Jud Buechler
Off Court,CHI,770,0.47,35.8,71.5,52.9,59.0,9.8,9.4,13.6,105.9,0.473,28.5,64.2,47.1,55.9,6.7,6.5,16.1,101.1,-0.003,7.2,7.2,5.8,3.1,3.2,3.0,-2.4,4.9,1997,Jud Buechler
On − Off,CHI,15%,0.003,-3.9,6.3,0.0,4.1,0.8,-2.0,-4.7,6.1,-0.024,-6.3,3.9,0.0,-8.9,-1.7,1.1,-1.0,-0.7,0.027,2.5,2.5,0.1,13.0,2.3,-3.2,-3.8,6.7,1997,Jud Buechler
On Court,HOU,6,0.5,33.3,62.5,47.1,60.0,7.1,0.0,6.7,120.0,0.6,37.5,66.7,52.9,37.5,0.0,10.0,14.3,128.6,-0.1,-4.2,-4.2,-5.9,22.5,7.1,-10.0,-7.6,-8.6,1997,Matt Bullard
Off Court,HOU,762,0.516,31.7,68.7,50.9,65.5,8.5,6.8,14.9,112.2,0.482,31.3,68.3,49.1,61.6,9.9,7.9,12.4,109.2,0.034,0.4,0.4,1.7,3.9,-1.4,-1.2,2.5,3.0,1997,Matt Bullard
On − Off,HOU,1%,-0.016,1.6,-6.2,-3.8,-5.5,-1.4,-6.8,-8.2,7.8,0.118,6.2,-1.6,3.8,-24.1,-9.9,2.1,1.9,19.4,-0.134,-4.6,-4.6,-7.6,18.6,8.5,-8.8,-10.1,-11.6,1997,Matt Bullard
On Court,POR,4,0.5,0.0,100.0,42.9,33.3,0.0,20.0,11.1,77.8,0.5,0.0,100.0,57.1,33.3,11.1,0.0,0.0,100.0,0.0,0.0,0.0,-14.3,0.0,-11.1,20.0,11.1,-22.2,1997,Mitchell Butler
Off Court,POR,188,0.479,30.3,68.5,48.7,60.9,6.5,7.1,16.3,104.5,0.496,31.5,69.7,51.3,68.0,8.0,9.6,12.9,111.4,-0.017,-1.1,-1.1,-2.7,-7.0,-1.6,-2.4,3.4,-7.0,1997,Mitchell Butler
On − Off,POR,2%,0.021,-30.3,31.5,-5.8,-27.6,-6.5,12.9,-5.2,-26.7,0.004,-31.5,30.3,5.8,-34.7,3.1,-9.6,-12.9,-11.4,0.017,1.1,1.1,-11.6,7.0,-9.5,22.4,7.7,-15.2,1997,Mitchell Butler
On Court,CHI,168,0.459,34.4,74.8,53.2,65.5,9.6,7.1,13.2,102.9,0.5,25.2,65.6,46.8,60.5,6.1,7.4,15.8,105.5,-0.041,9.2,9.2,6.4,5.0,3.5,-0.3,-2.5,-2.6,1997,Jason Caffey
Off Court,CHI,737,0.473,35.3,71.9,52.9,58.3,10.0,9.6,12.8,107.8,0.462,28.1,64.7,47.1,53.1,6.5,6.5,15.9,99.9,0.011,7.2,7.2,5.7,5.3,3.5,3.1,-3.1,7.9,1997,Jason Caffey
On − Off,CHI,19%,-0.014,-0.9,2.9,0.3,7.2,-0.4,-2.5,0.4,-4.9,0.038,-2.9,0.9,-0.3,7.4,-0.4,0.9,-0.1,5.6,-0.052,2.0,2.0,0.7,-0.3,0.0,-3.4,0.6,-10.5,1997,Jason Caffey
On Court,LAL,279,0.464,26.2,69.4,48.2,64.6,8.2,10.5,13.8,105.4,0.468,30.6,73.8,51.8,64.9,6.4,9.4,15.7,102.6,-0.004,-4.3,-4.3,-3.6,-0.3,1.8,1.0,-1.8,2.8,1997,Elden Campbell
Off Court,LAL,158,0.508,34.4,69.8,51.8,62.5,6.6,10.7,12.7,118.2,0.467,30.2,65.6,48.2,69.2,7.5,9.2,13.0,107.6,0.042,4.2,4.2,3.5,-6.7,-0.9,1.4,-0.3,10.5,1997,Elden Campbell
On − Off,LAL,64%,-0.044,-8.2,-0.4,-3.6,2.1,1.6,-0.2,1.1,-12.8,0.001,0.4,8.2,3.6,-4.3,-1.1,0.2,2.7,-5.0,-0.046,-8.5,-8.5,-7.1,6.4,2.7,-0.4,-1.5,-7.7,1997,Elden Campbell
On Court,UTA,278,0.457,23.4,71.8,49.7,65.6,8.0,6.9,14.2,95.8,0.459,28.2,76.6,50.3,62.3,9.0,10.9,12.7,112.3,-0.002,-4.9,-4.9,-0.6,3.3,-1.0,-3.9,1.6,-16.5,1997,Antoine Carr
Off Court,UTA,684,0.496,31.9,74.0,53.4,64.3,8.6,9.4,12.8,111.8,0.493,26.0,68.1,46.6,57.9,7.4,8.6,13.4,106.7,0.003,6.0,6.0,6.8,6.4,1.2,0.8,-0.6,5.1,1997,Antoine Carr
On − Off,UTA,29%,-0.039,-8.5,-2.2,-3.7,1.3,-0.6,-2.5,1.4,-16.0,-0.034,2.2,8.5,3.7,4.4,1.6,2.3,-0.7,5.6,-0.005,-10.9,-10.9,-7.4,-3.1,-2.2,-4.7,2.2,-21.6,1997,Antoine Carr
On Court,MIN,8,0.5,22.2,33.3,26.7,57.1,0.0,0.0,5.9,105.9,0.615,66.7,77.8,73.3,42.9,0.0,0.0,7.7,161.5,-0.115,-44.4,-44.4,-46.7,14.3,0.0,0.0,-1.8,-55.7,1997,Chris Carr
Off Court,MIN,135,0.486,30.1,71.3,47.9,60.2,8.9,8.5,9.8,110.2,0.571,28.7,69.9,52.1,77.8,7.5,5.8,12.8,120.9,-0.085,1.4,1.4,-4.3,-17.6,1.5,2.7,-3.0,-10.7,1997,Chris Carr
On − Off,MIN,6%,0.014,-7.9,-38.0,-21.2,-3.1,-8.9,-8.5,-3.9,-4.3,0.044,38.0,7.9,21.2,-34.9,-7.5,-5.8,-5.1,40.6,-0.03,-45.8,-45.8,-42.4,31.9,-1.5,-2.7,1.2,-45.0,1997,Chris Carr
On Court,PHO,107,0.472,29.3,73.3,52.8,63.5,6.5,9.5,17.6,99.5,0.473,26.7,70.7,47.2,72.7,12.2,14.2,10.6,110.2,-0.001,2.7,2.7,5.6,-9.2,-5.7,-4.7,6.9,-10.6,1997,Cedric Ceballos
Off Court,PHO,137,0.483,19.0,64.1,41.2,68.4,9.9,8.1,12.5,99.6,0.549,35.9,81.0,58.8,59.2,8.2,5.2,13.5,119.0,-0.066,-16.9,-16.9,-17.6,9.2,1.7,2.9,-1.0,-19.3,1997,Cedric Ceballos
On − Off,PHO,44%,-0.011,10.3,9.2,11.6,-4.9,-3.4,1.4,5.1,-0.1,-0.076,-9.2,-10.3,-11.6,13.5,4.0,9.0,-2.9,-8.8,0.065,19.6,19.6,23.2,-18.4,-7.4,-7.6,7.9,8.7,1997,Cedric Ceballos
On Court,PHO,191,0.505,23.4,67.3,45.6,65.3,9.2,8.7,14.5,103.0,0.531,32.7,76.6,54.4,64.3,9.3,6.6,13.4,117.1,-0.027,-9.4,-9.4,-8.9,1.0,-0.1,2.0,1.2,-14.1,1997,Rex Chapman
Off Court,PHO,53,0.372,23.9,72.5,49.5,71.4,5.5,8.5,15.4,86.5,0.465,27.5,76.1,50.5,65.1,12.5,17.5,8.3,108.3,-0.093,-3.5,-3.5,-1.0,6.3,-7.0,-9.1,7.1,-21.7,1997,Rex Chapman
On − Off,PHO,78%,0.133,-0.5,-5.2,-3.9,-6.1,3.7,0.2,-0.9,16.5,0.066,5.2,0.5,3.9,-0.8,-3.2,-10.9,5.1,8.8,0.066,-5.9,-5.9,-7.9,-5.3,6.9,11.1,-5.9,7.6,1997,Rex Chapman
On Court,WSB,120,0.497,35.2,58.2,47.1,54.7,5.4,8.9,16.9,108.9,0.495,41.8,64.8,52.9,54.6,9.4,6.9,13.8,113.8,0.002,-6.7,-6.7,-5.8,0.0,-4.0,2.1,3.1,-4.9,1997,Calbert Cheaney
Off Court,WSB,23,0.548,13.3,72.7,48.6,25.0,4.5,9.4,9.3,123.3,0.476,27.3,86.7,51.4,38.9,7.0,8.3,11.4,109.1,0.072,-13.9,-13.9,-2.7,-13.9,-2.4,1.0,-2.1,14.2,1997,Calbert Cheaney
On − Off,WSB,84%,-0.051,21.9,-14.5,-1.5,29.7,0.9,-0.5,7.6,-14.4,0.019,14.5,-21.9,1.5,15.7,2.4,-1.4,2.4,4.7,-0.07,7.2,7.2,-3.1,13.9,-1.6,1.1,5.2,-19.1,1997,Calbert Cheaney
On Court,NYK,327,0.488,26.1,73.3,49.6,58.2,9.1,6.4,16.9,101.3,0.506,26.7,73.9,50.4,55.0,8.6,8.8,13.7,106.9,-0.018,-0.6,-0.6,-0.7,3.2,0.5,-2.3,3.2,-5.6,1997,Chris Childs
Off Court,NYK,150,0.54,23.6,74.1,51.4,68.5,11.2,6.7,15.0,109.9,0.405,25.9,76.4,48.6,50.0,9.2,7.4,19.2,86.0,0.135,-2.3,-2.3,2.9,18.5,2.0,-0.7,-4.2,23.9,1997,Chris Childs
On − Off,NYK,69%,-0.052,2.5,-0.8,-1.8,-10.3,-2.1,-0.3,1.9,-8.6,0.101,0.8,-2.5,1.8,5.0,-0.6,1.4,-5.5,20.9,-0.153,1.7,1.7,-3.6,-15.3,-1.5,-1.6,7.4,-29.5,1997,Chris Childs
On Court,ATL,363,0.494,28.6,69.1,50.3,49.8,5.4,6.3,15.1,106.7,0.493,30.9,71.4,49.7,52.8,7.5,6.7,10.9,109.9,0.001,-2.3,-2.3,0.5,-3.0,-2.1,-0.4,4.3,-3.2,1997,Tyrone Corbin
Off Court,ATL,114,0.458,33.7,69.5,52.5,50.0,5.0,10.0,18.4,101.4,0.454,30.5,66.3,47.5,57.3,12.4,8.4,13.5,99.5,0.004,3.2,3.2,5.0,-7.3,-7.5,1.6,4.9,1.8,1997,Tyrone Corbin
On − Off,ATL,76%,0.036,-5.1,-0.4,-2.2,-0.2,0.4,-3.7,-3.3,5.3,0.039,0.4,5.1,2.2,-4.5,-4.9,-1.7,-2.6,10.4,-0.003,-5.5,-5.5,-4.5,4.3,5.4,-2.0,-0.6,-5.0,1997,Tyrone Corbin
On Court,MIA,124,0.444,26.1,72.6,51.7,55.9,8.5,9.2,22.4,87.1,0.418,27.4,73.9,48.3,56.4,15.9,8.9,14.9,94.0,0.026,-1.3,-1.3,3.4,-0.5,-7.4,0.2,7.5,-7.0,1997,John Crotty
Off Court,MIA,688,0.471,27.4,71.0,49.3,58.5,7.6,8.5,15.3,100.5,0.446,29.0,72.6,50.7,55.0,9.2,9.2,14.9,99.3,0.025,-1.6,-1.6,-1.5,3.5,-1.6,-0.7,0.4,1.2,1997,John Crotty
